# Model #, volume (Rsun^3), max_temp (K),[Density: Neutron-1,Ne-22,Mg-25,Zr-94,Zr-96],[Massf: Neutron-1,Ne-22,Mg-25,Zr-94,Zr-96]
53222,2.50012242216e-05,146489252.147,6.81079358626e-21,294.519936434,8.21813934294,0.0295467684591,0.000106506140686,9.51620607237e-25,0.0161166289896,0.000439328915569,2.793679492e-06,7.62479481896e-09
53223,2.49619680331e-05,146508641.567,6.76835586245e-21,294.294269747,8.21177331819,0.029536066532,0.000106436764725,9.47313490625e-25,0.0161166286232,0.000439328912865,2.79371893238e-06,7.62456854595e-09
53224,2.49250906868e-05,146527302.534,6.66033248863e-21,294.739851616,8.22404756387,0.0295928576568,0.000106598136853,9.30888723726e-25,0.0161530974475,0.000440307134176,2.80013412096e-06,7.63954244231e-09
53225,2.48903952704e-05,146545243.766,6.63642076095e-21,295.190517339,8.2365497809,0.0296500220424,0.000106773074927,9.28948834524e-25,0.0161896699736,0.00044128886775,2.80657653474e-06,7.65456023477e-09
53226,2.48576537549e-05,146562480.696,6.59885760688e-21,294.9661968,8.23022150035,0.0296393627784,0.000106704425857,9.25001571685e-25,0.0161896696405,0.000441288863773,2.80661037208e-06,7.65436570579e-09
53227,2.48269445543e-05,146655642.671,6.56277532171e-21,294.742780486,8.22391865443,0.0296287422936,0.000106636146606,9.21160070405e-25,0.0161896693198,0.000441288859704,2.80664250535e-06,7.6541809065e-09
53228,2.47980687002e-05,146832098.16,6.50430507626e-21,297.799181623,8.31187711416,0.0294913074156,0.000107197005713,9.13450667863e-25,0.0162829794529,0.000444039419978,2.79416029231e-06,7.65939760249e-09
53229,2.47707588103e-05,147011286.39,6.47143384062e-21,297.572897658,8.30549133779,0.0294808426337,0.00010712843525,9.09844112991e-25,0.0162829791442,0.000444039415296,2.79418914441e-06,7.65923144095e-09
53230,2.4745224741e-05,147191978.298,6.43983808201e-21,297.347661062,8.29913501525,0.0294704302058,0.000107060266851,9.06325349587e-25,0.0162829788467,0.0004440394105,2.79421657095e-06,7.65907345459e-09
53231,2.47212877828e-05,147373021.311,6.39496470197e-21,296.447355264,8.27395656561,0.0293929948937,0.000106751715661,9.00890623827e-25,0.016246362141,0.000443056188294,2.78789309168e-06,7.64376045372e-09
53232,2.46988122926e-05,147558049.502,6.36589695332e-21,296.224968068,8.26768034857,0.0293827391834,0.000106684586087,8.97553402174e-25,0.016246361861,0.0004430561833,2.7879178244e-06,7.64361779316e-09
53233,2.46777331632e-05,147747587.335,6.33798452344e-21,296.003815341,8.26143880367,0.0293725556247,0.000106617913423,8.94297216316e-25,0.0162463615886,0.0004430561782,2.78794134723e-06,7.64348201215e-09
53234,2.46578293677e-05,147937324.601,6.32561452151e-21,296.459054052,8.2740684744,0.0294294837693,0.000106793935739,8.93148344262e-25,0.0162829762599,0.000444039537801,2.7943134474e-06,7.65851453974e-09
53235,2.46392786843e-05,148127213.275,6.29983282693e-21,296.239993255,8.26788560272,0.0294194328319,0.000106728056102,8.90038188514e-25,0.0162829760034,0.000444039532452,2.79433480381e-06,7.65839117133e-09
53236,2.46219583795e-05,148320439.622,6.27506019565e-21,296.022242288,8.26173955581,0.0294094571349,0.000106662642913,8.86995520435e-25,0.0162829757532,0.000444039526996,2.79435513183e-06,7.65827365179e-09
53237,2.46057274527e-05,148517646.162,6.25130543065e-21,295.805883215,8.25563259303,0.0293995684837,0.000106597727645,8.84024470342e-25,0.0162829755114,0.00044403952142,2.7943744971e-06,7.65816168987e-09
53238,2.45905086076e-05,148715076.657,6.24277137882e-21,296.267243791,8.26843744617,0.0294570157027,0.00010677666449,8.83131591322e-25,0.0163197635866,0.000445027661541,2.8007719025e-06,7.67328511319e-09
53239,2.45762699797e-05,148914101.721,6.2208943182e-21,296.053239857,8.26239656452,0.0294472813453,0.000106712605045,8.8028783769e-25,0.0163197633565,0.00044502765574,2.80078951667e-06,7.67318315536e-09
53240,2.45630447414e-05,149117715.615,6.19989233644e-21,295.840625804,8.25639475702,0.0294376305194,0.000106649028793,8.77502263845e-25,0.0163197631332,0.000445027649826,2.80080630872e-06,7.67308594329e-09
53241,2.45507052296e-05,149321573.743,6.17981070814e-21,295.630172746,8.25045370223,0.0294280752617,0.000106586126047,8.74807864632e-25,0.0163197628223,0.000445027595968,2.80082231992e-06,7.6729912823e-09
53242,2.45392959784e-05,149524821.203,6.16200886109e-21,295.421117206,8.24455206964,0.0294186242583,0.000106523737876,8.7218107549e-25,0.0163197626114,0.000445027589831,2.80083751991e-06,7.67290315169e-09
53243,2.45286302476e-05,149732860.535,6.14191413206e-21,295.212943174,8.23867694645,0.0294092638602,0.000106461798876,8.69619745654e-25,0.0163197623967,0.000445027570993,2.80085207144e-06,7.67281796417e-09
53244,2.451877556e-05,149941920.527,6.13278301794e-21,295.008648073,8.23290935558,0.0294000790847,0.00010640096309,8.67427675787e-25,0.016319762203,0.000445027564336,2.80086575581e-06,7.67273860226e-09
53245,2.4509644183e-05,150151699.464,6.11296236745e-21,294.797799495,8.22695274659,0.0293909264207,0.000106338581095,8.64948603424e-25,0.0163197612151,0.000445027341517,2.80087892566e-06,7.67265511904e-09
53246,2.4501386071e-05,150358866.038,6.10473176742e-21,294.596577501,8.2212718721,0.0293819069074,0.000106278759674,8.62884482626e-25,0.0163197610436,0.000445027335172,2.80089135927e-06,7.67258309939e-09
53247,2.44936429345e-05,150566818.194,6.08525877212e-21,294.397813603,8.21566459848,0.0293729198709,0.000106219771151,8.60442457867e-25,0.0163197609915,0.000445027376244,2.80090336332e-06,7.67251462088e-09
53248,2.44867057381e-05,150770527.865,6.08219230267e-21,294.200271037,8.21008779916,0.0293640854177,0.000106161120322,8.58643223877e-25,0.0163197607987,0.000445027374028,2.80091465698e-06,7.67244860707e-09
53249,2.4480239397e-05,150975098.758,6.06544103538e-21,294.002083111,8.20449419765,0.0293552540287,0.00010610241326,8.56336420628e-25,0.0163197606556,0.000445027404987,2.80092559115e-06,7.67238482829e-09
53250,2.44743813047e-05,151177169.09,6.05471784645e-21,293.803095158,8.19887743955,0.0293465025838,0.000106043647699,8.54243301696e-25,0.0163197607169,0.000445027453024,2.80093599622e-06,7.67232589814e-09
53251,2.44690118723e-05,151378417.936,6.04486967361e-21,293.601933977,8.19319662418,0.0293377860566,0.00010598433877,8.52275636244e-25,0.0163197599289,0.000445027385797,2.80094602029e-06,7.67226280423e-09
53252,2.44641705538e-05,151577736.372,6.03725942909e-21,293.401985757,8.1875499076,0.0293291131256,0.000105925378856,8.50386909111e-25,0.016319758911,0.00044502724866,2.80095562747e-06,7.67220064837e-09
53253,2.44597828491e-05,151774984.145,6.03487938699e-21,293.204932743,8.18198617531,0.0293205090558,0.000105867241057,8.48827091913e-25,0.0163197577757,0.000445027152099,2.80096484904e-06,7.67214001699e-09
53254,2.44558350655e-05,151968988.231,6.03378233404e-21,293.011875345,8.17653510343,0.0293120090596,0.000105810213763,8.47255013012e-25,0.0163197574515,0.000445027122633,2.80097359887e-06,7.67208776133e-09
53255,2.44522580979e-05,152163379.66,6.02497946601e-21,292.816869413,8.17102777054,0.0293034620917,0.000105752624135,8.45414624682e-25,0.0163197555364,0.00044502690002,2.80098215064e-06,7.67202657076e-09
53256,2.44492431339e-05,152353104.096,6.0303064056e-21,292.624978675,8.16560899283,0.0292950666898,0.000105695997512,8.44202621127e-25,0.0163197546781,0.000445026838667,2.80099020035e-06,7.67197500571e-09
53257,2.4446588002e-05,152550007.848,6.02437120891e-21,292.42881994,8.16006604887,0.0292866284841,0.000105638229019,8.42456013816e-25,0.0163197529943,0.000445026615657,2.80099802786e-06,7.67192000587e-09
53258,2.44443052344e-05,152758399.394,6.01778948912e-21,296.338092029,8.2726908754,0.0290895927096,0.000106333602634,8.36633537274e-25,0.0164582453131,0.000449109321471,2.78236024664e-06,7.67988769283e-09
53259,2.44423974687e-05,152941749.234,6.04188551651e-21,293.457054212,8.18984875878,0.0292067326616,0.000105785755063,8.39112666169e-25,0.0163661195621,0.000446392821059,2.79476939759e-06,7.67448206847e-09
53260,2.44408064418e-05,153125601.539,6.04775581454e-21,293.266019239,8.18444845422,0.0291983619493,0.000105729201948,8.38011977604e-25,0.0163661155479,0.000446392354172,2.79477643548e-06,7.67442091216e-09
53261,2.44396062709e-05,153307944.024,6.05437918596e-21,293.07499742,8.17904832341,0.0291901487495,0.000105672772111,8.36940402182e-25,0.0163661104946,0.000446391892747,2.79478309721e-06,7.67435668886e-09
53262,2.44387580678e-05,153492752.786,6.07259534966e-21,292.884748124,8.17366663801,0.0291819537293,0.00010561650338,8.3654011646e-25,0.0163661048151,0.000446391174114,2.79478951422e-06,7.6742909161e-09
53263,2.44381778034e-05,153680402.023,6.09393625032e-21,292.692881751,8.16824689427,0.0291736868203,0.000105560138331,8.36260293316e-25,0.0163661032828,0.000446391035436,2.79479572251e-06,7.67424766333e-09
53264,2.44378566651e-05,153860919.5,6.09575744431e-21,292.505690315,8.16296023701,0.0291653357476,0.000105504764588,8.34905695343e-25,0.0163661004249,0.000446390740707,2.79480183109e-06,7.67419939742e-09
53265,2.44378195285e-05,154027567.598,6.10688835083e-21,292.32789211,8.1579401811,0.0291571871885,0.000105451933621,8.34086903965e-25,0.0163660978838,0.000446390511756,2.794807599e-06,7.67415457077e-09
53266,2.44381529611e-05,154192931.736,6.12213974981e-21,292.156284318,8.15309557381,0.0291494638716,0.000105401166789,8.33490008322e-25,0.0163660968626,0.000446390458042,2.79481279199e-06,7.6741198431e-09
53267,2.44387400934e-05,154362312.222,6.13140749786e-21,291.990215722,8.14840923957,0.0291419404244,0.00010535192891,8.32909068784e-25,0.0163660944236,0.000446390536195,2.79481768082e-06,7.67408089506e-09
53268,2.4439612219e-05,154537790.161,6.14034664767e-21,291.82176095,8.14365420358,0.0291346281818,0.000105302384663,8.32188271559e-25,0.0163660926624,0.000446390615438,2.79482222237e-06,7.67404699797e-09
53269,2.44407208601e-05,154723333.116,6.14424995509e-21,291.650059965,8.13880643666,0.0291272468748,0.000105252025321,8.31160894282e-25,0.0163660915521,0.000446390666922,2.79482663531e-06,7.674016647e-09
53270,2.44420453784e-05,154916359.707,6.14702837052e-21,291.474406817,8.13384692474,0.0291196954756,0.000105200525991,8.30050803831e-25,0.0163660904411,0.000446390725111,2.79483102356e-06,7.67398655493e-09
53271,2.44439896376e-05,155143762.63,6.15065883161e-21,291.254327271,8.12763422293,0.0291103293801,0.000105136072232,8.28741656048e-25,0.0163660878321,0.000446390893101,2.79483627683e-06,7.67394552409e-09
53272,2.44461666283e-05,155337408.611,6.15361717043e-21,291.028788242,8.12126499746,0.0291008242587,0.000105070137373,8.27313258453e-25,0.0163660837229,0.000446390727912,2.794841475e-06,7.6738986566e-09
53273,2.44486190187e-05,155534695.432,6.17297682163e-21,290.808699553,8.11504902579,0.0290914543016,0.000105005765589,8.26605553021e-25,0.0163660816078,0.000446390611973,2.79484637275e-06,7.67386150804e-09
53274,2.44512153701e-05,155730300.762,6.189893127e-21,290.590935434,8.10889911221,0.0290821966687,0.000104942088782,8.2611050777e-25,0.0163660786009,0.00044639062312,2.79485105914e-06,7.67382250943e-09
53275,2.44540530807e-05,155936165.571,6.21194181934e-21,290.379262309,8.10292308475,0.0290731772042,0.000104880147892,8.25921320059e-25,0.0163660761181,0.000446390749294,2.79485542886e-06,7.67378773694e-09
53276,2.4457031822e-05,156168384.855,6.28374018433e-21,292.841867033,8.17152187947,0.029332086302,0.00010577711857,8.32902250102e-25,0.0165149961847,0.000450391196446,2.82055607892e-06,7.73524145896e-09
53277,2.44603428556e-05,156396212.539,6.29424618312e-21,292.628405541,8.16549629266,0.02932303078,0.000105714699043,8.3210765818e-25,0.016514993279,0.00045039143081,2.82056016201e-06,7.73520745691e-09
53278,2.44639027974e-05,156595804.166,6.30376005162e-21,292.409169293,8.15930613873,0.0293138032394,0.000105650676121,8.31163183826e-25,0.0165149901037,0.000450391553893,2.820564198e-06,7.73517264338e-09
53279,2.44677064296e-05,156781884.306,6.31465720934e-21,292.186938271,8.15303010604,0.0293044398655,0.000105585756807,8.30195361809e-25,0.0165149865551,0.000450391522181,2.8205681689e-06,7.73513663514e-09
53280,2.44717230039e-05,156983059.97,6.32996828912e-21,291.965743619,8.1467834875,0.0292950345953,0.000105521025205,8.29517260022e-25,0.0165149816429,0.000450391541635,2.82057203858e-06,7.73509669526e-09
53281,2.44759157605e-05,157209687.814,6.3577790893e-21,291.744106763,8.14053032018,0.0292856735278,0.000105456118973,8.29665838706e-25,0.0165149730683,0.000450391980577,2.82057579334e-06,7.73504603344e-09
