# Model #, volume (Rsun^3),[Density: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130],[Massf: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130]
53242,2.45392959784e-05,6.16070107813e-21,0.029418624414,0.000106523684001,8.24455069998,0.00373039367953,0.00817098956749,8.72121768904e-25,2.8008375247e-06,7.67290148963e-09,0.000445027547334,3.54711973203e-07,7.76893163105e-07
53243,2.45286302476e-05,6.14247393282e-21,0.0294092641733,0.000106461686598,8.2386738333,0.0037291771985,0.00816835220883,8.69585047149e-25,2.80085207607e-06,7.67281618864e-09,0.000445027511003,3.54711452162e-07,7.76894744473e-07
53244,2.451877556e-05,6.12693150219e-21,0.0294000793952,0.000106400851425,8.23290625775,0.00372798453606,0.00816576533324,8.67124039417e-25,2.80086576035e-06,7.67273684138e-09,0.000445027504682,3.54710963765e-07,7.76896232301e-07
53245,2.4509644183e-05,6.1083924077e-21,0.0293909262795,0.000106338636202,8.22695483191,0.00372679661038,0.00816318763256,8.64656842361e-25,2.80087890633e-06,7.67266223289e-09,0.000445027557356,3.54710495983e-07,7.768976619e-07
53246,2.4501386071e-05,6.09647194977e-21,0.0293819067864,0.000106278807879,8.22127386417,0.00372562714721,0.00816064906826,8.62424342599e-25,2.80089134039e-06,7.67259006117e-09,0.000445027550704,3.54710054815e-07,7.76899013516e-07
53247,2.44936429345e-05,6.08007024578e-21,0.0293729203017,0.00010621962154,8.21566155949,0.00372446271581,0.00815812066678,8.60019436717e-25,2.80090335541e-06,7.67251757433e-09,0.000445027467679,3.54709630508e-07,7.76900319662e-07
53248,2.44867057381e-05,6.06813595633e-21,0.029364085861,0.000106160964034,8.21008436701,0.00372331878104,0.00815563573828,8.57813799982e-25,2.80091464764e-06,7.67245194107e-09,0.000445027460844,3.54709232131e-07,7.76901545977e-07
53249,2.4480239397e-05,6.05214023127e-21,0.0293552547015,0.000106102162371,8.20448729723,0.00372217588611,0.0081531523249,8.5558616351e-25,2.80092560812e-06,7.67237830312e-09,0.000445027204152,3.54708847298e-07,7.76902734287e-07
53250,2.44743813047e-05,6.0513516258e-21,0.029346503497,0.000106043307511,8.19886805317,0.00372104398102,0.00815069190741,8.53955073722e-25,2.80093601739e-06,7.67231773979e-09,0.000445027195949,3.5470848507e-07,7.76903866672e-07
53251,2.44690118723e-05,6.03699607823e-21,0.0293377869145,0.000105984015499,8.19318711469,0.00371991706963,0.00814824158499,8.51683985373e-25,2.80094602872e-06,7.67225901992e-09,0.000445027182584,3.54708137977e-07,7.76904954841e-07
53252,2.44641705538e-05,6.02418922278e-21,0.0293291139194,0.000105925076351,8.18754048929,0.00371879645132,0.00814580419834,8.4946305942e-25,2.80095561814e-06,7.67220322247e-09,0.000445027174973,3.54707807804e-07,7.76905997737e-07
53253,2.44597828491e-05,6.00757170343e-21,0.0293205090393,0.000105867236807,8.18198519578,0.00371768540922,0.00814338688692,8.47286461111e-25,2.80096481455e-06,7.67215215592e-09,0.000445027390398,3.54707493478e-07,7.76906998005e-07
53254,2.44558350655e-05,6.01053656226e-21,0.0293120090618,0.000105810201765,8.17653397284,0.00371658842665,0.00814099960155,8.45886093442e-25,2.80097356061e-06,7.67210118852e-09,0.000445027381979,3.54707196721e-07,7.76907949908e-07
53255,2.44522580979e-05,5.99921772137e-21,0.0293034620664,0.000105752624601,8.17102742313,0.00371548580478,0.00813859948191,8.43842089627e-25,2.80098209549e-06,7.67204647815e-09,0.000445027346698,3.54706908137e-07,7.76908875842e-07
53256,2.44492431339e-05,5.98896836988e-21,0.0292950664401,0.000105696078877,8.16561030485,0.00371440332782,0.00813624250576,8.41894585153e-25,2.80099015188e-06,7.67199205579e-09,0.000445027124601,3.54706637845e-07,7.76909750069e-07
53257,2.4446588002e-05,6.00260733612e-21,0.0292866280237,0.000105638395422,8.16007089235,0.0037133156318,0.00813387360223,8.4120293759e-25,2.80099797632e-06,7.67193887879e-09,0.00044502708346,3.54706376361e-07,7.76910596633e-07
53258,2.44443052344e-05,5.99402727239e-21,0.0290895918574,0.000106333920736,8.27270056045,0.00368856530767,0.00807972620389,8.35200455807e-25,2.78236015566e-06,7.67992155707e-09,0.000449110188719,3.52355255022e-07,7.71764543139e-07
53259,2.44423974687e-05,5.98362589756e-21,0.0292067311954,0.000105786310843,8.18986606534,0.003703236743,0.0081118402201,8.3587547409e-25,2.79476926887e-06,7.67453049117e-09,0.000446394128834,3.53918689391e-07,7.75188744167e-07
53260,2.44408064418e-05,5.97516591493e-21,0.0291983597761,0.000105730031171,8.1844734578,0.00370215920017,0.00810949189449,8.33908539976e-25,2.7947762532e-06,7.67448965001e-09,0.000446394119322,3.53918462367e-07,7.75189502641e-07
53261,2.44396062709e-05,5.96362242962e-21,0.0291901453629,0.000105674049683,8.17908042859,0.0037011022218,0.00810718780608,8.31976510336e-25,2.79478285096e-06,7.67444945123e-09,0.000446394114476,3.53918250538e-07,7.75190219434e-07
53262,2.44387580678e-05,5.95896625248e-21,0.0291819493421,0.000105618166509,8.17370906656,0.00370004799392,0.00810488924985,8.30309044e-25,2.79478921693e-06,7.6744033156e-09,0.000446393855751,3.53918048487e-07,7.75190910292e-07
53263,2.44381778034e-05,5.9738967278e-21,0.0291736826119,0.000105561742762,8.16829185693,0.0036989849866,0.00810257114,8.29768788731e-25,2.79479544044e-06,7.67435527849e-09,0.000446393947197,3.53917851204e-07,7.7519158022e-07
53264,2.44378566651e-05,5.96933471436e-21,0.0291653313393,0.000105506445778,8.16300791143,0.00369791175871,0.00810023041286,8.28009967665e-25,2.7948015167e-06,7.6743193737e-09,0.000446393940133,3.53917661233e-07,7.7519223966e-07
53265,2.44378195285e-05,5.96113024027e-21,0.0291571825295,0.000105453706574,8.15798964416,0.00369686511735,0.00809794731545,8.26159224765e-25,2.79480725613e-06,7.67428532065e-09,0.000446393936354,3.53917484623e-07,7.75192863731e-07
53266,2.44381529611e-05,5.955843179e-21,0.0291494591802,0.000105402949229,8.15314580358,0.00369587341608,0.00809578352974,8.24452601735e-25,2.79481243689e-06,7.67425493876e-09,0.000446393926943,3.53917326325e-07,7.7519342636e-07
53267,2.44387400934e-05,5.94753128342e-21,0.0291419353269,0.000105353850689,8.14845775489,0.00369490772055,0.00809367612995,8.22827026739e-25,2.79481730548e-06,7.67422312808e-09,0.00044639398179,3.53917178355e-07,7.75193952374e-07
53268,2.4439612219e-05,5.9452315406e-21,0.0291346228785,0.000105304375766,8.14370204337,0.00369396919841,0.00809162755131,8.21421451483e-25,2.79482183365e-06,7.6741938411e-09,0.00044639404061,3.53917043407e-07,7.7519444322e-07
53269,2.44407208601e-05,5.94102679651e-21,0.0291272415027,0.000105254036966,8.13885415554,0.00369302202746,0.0080895597626,8.19858219468e-25,2.79482623725e-06,7.67416661836e-09,0.000446394064985,3.53916912052e-07,7.7519491897e-07
53270,2.44420453784e-05,5.93592582105e-21,0.0291196900519,0.00010520255182,8.13389450733,0.00369205326785,0.00808744457482,8.18183308733e-25,2.79483061262e-06,7.67414087293e-09,0.000446394056768,3.53916783739e-07,7.75195393193e-07
53271,2.44439896376e-05,5.95149955699e-21,0.0291103290778,0.000105136119597,8.12762585789,0.00369085168797,0.00808482118331,8.17496157493e-25,2.79483617538e-06,7.67397985974e-09,0.000446390583748,3.5391661633e-07,7.75195959529e-07
