# Model #, volume (Rsun^3),[Density: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130],[Massf: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130]
53621,0.000225658948781,421998353.583,0.000291448896927,2.89562999887e-05,3.39930429151,4.14405540979e-05,9.41684580061e-05,2.79557666161e-19,6.37798295413e-08,6.34861693576e-09,0.000779131393436,8.94819679572e-09,2.06087799362e-08
53622,0.000229898428586,469067443.581,0.000291901484036,2.90025402798e-05,3.40402159302,4.15141621329e-05,9.4306314128e-05,3.22419090117e-19,6.38033653584e-08,6.35112181711e-09,0.000780182061782,8.95454816159e-09,2.06133331035e-08
53623,0.000234025014156,520734922.028,0.000286110509914,2.84288454362e-05,3.33840732716,4.06920167372e-05,9.24278597516e-05,3.47079541753e-19,6.38197018711e-08,6.35313655136e-09,0.000781772751334,8.95752829172e-09,2.06151844046e-08
53624,0.000238075891199,516166770.02,0.000290655319801,2.88808696552e-05,3.38695265463,4.13591545995e-05,9.38867322596e-05,3.45498773783e-19,6.38460877206e-08,6.35584592079e-09,0.00078223864582,8.96551236196e-09,2.06199757418e-08
53625,0.000242076054208,565012354.468,0.000283148255416,2.8135920894e-05,3.30191143967,4.02900586707e-05,9.14556580167e-05,3.65206336775e-19,6.38613282547e-08,6.35771822295e-09,0.000783841745829,8.96775279312e-09,2.06210307868e-08
53626,0.0002460519218,553879387.489,0.000283913685488,2.82131372709e-05,3.31019068847,4.04071483403e-05,9.16956250385e-05,3.61600369831e-19,6.3879986303e-08,6.3598187523e-09,0.000784698446705,8.97252909047e-09,2.06230074158e-08
53627,0.00024997937772,526290780.593,0.000280108150947,2.78363245259e-05,3.26669072536,3.98683282619e-05,9.04593682743e-05,3.52633653543e-19,6.38954726948e-08,6.36181739934e-09,0.000786066035504,8.97492989306e-09,2.06236390604e-08
53628,0.000253931188707,523020814.849,0.000278840831522,2.77111276518e-05,3.25212348308,3.96924365071e-05,9.00438269179e-05,3.50088845083e-19,6.39164999148e-08,6.36412408111e-09,0.000786900950841,8.97964269359e-09,2.06261914671e-08
53629,0.000257845189173,527875368.655,0.000279611279223,2.77888420227e-05,3.26012224396,3.98093028147e-05,9.02849826315e-05,3.5211647915e-19,6.39427998389e-08,6.36701260449e-09,0.000787706423254,8.98512314841e-09,2.06300962543e-08
53630,0.000262499077628,532936111.17,0.000276983026223,2.75291119974e-05,3.2306180007,3.94367205794e-05,8.94276888739e-05,3.58106641451e-19,6.39650944616e-08,6.36962948342e-09,0.000788779856306,8.98926218502e-09,2.06315472943e-08
