# model #, time_scale (hrs)
53544,0.073869432975
53545,0.0734731868711
53546,0.0730740314972
53547,0.0731111823531
53548,0.0728572776998
53549,0.0716469015343
53550,0.0711614474016
53551,0.0566654866994
53552,0.0562848556214
53553,0.0559052836248
53554,0.0556912102054
53555,0.0556634316612
53556,0.0552099158391
53557,0.0547572926068
53558,0.0543034413035
53559,0.0542206024923
53560,0.0541486438873
53561,0.0526392761655
53562,0.0520989165621
53563,0.0769840621102
53564,0.0766815888858
53565,0.0757593891291
53566,0.0331198851397
53567,0.0326044700528
53568,0.0325019715804
53569,0.0724318877695
53570,0.0701760275381
53571,0.0388816305906
53572,0.0379675750037
53573,0.0369948515406
53574,0.0371308271105
53575,0.0291597342228
53576,0.0260151172114
53577,0.0737457723622
53578,0.0740953357369
53579,0.0749606105407
53580,0.0699349310294
53581,0.0921316929637
53582,0.0911352389476
53583,0.0888415376935
53584,0.0880786560124
53585,0.0462127428428
53586,0.043042179424
53587,0.0428923954078
53588,0.0423693378846
53589,0.0625240215479
53590,0.0613688880706
53591,0.0108981120447
53592,0.010720097077
53593,0.0105523580603
53594,0.00856538013947
53595,0.0106021590451
53596,0.0105682625009
53597,0.0106815992835
53598,0.0160707077322
53599,0.0158504533798
53600,0.030629991392
53601,0.0302300649203
53602,0.0298449294408
53603,0.0633910576779
53604,0.0641221952976
53605,0.0632293505146
53606,0.0623804581567
53607,0.0615362106845
53608,0.0607452301005
53609,0.10664967459
53610,0.00720601801003
53611,0.00189750471968
53612,0.00187543505926
53613,0.00185018550892
53614,0.00182608139904
53615,0.00180326700391
53616,0.00384008134479
53617,0.00384215359771
53618,0.00374995661941
53619,0.00370791167131
53620,0.0663056624767
53621,0.119126221182
53622,0.114805668741
53623,0.0285851341556
53624,0.113445056129
53625,0.0289318177282
53626,0.0158894611257
53627,0.00658389574148
53628,0.0239137453257
53629,0.0243456020456
53630,0.00341498967061
