# Model #, volume (Rsun^3),[Density: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130],[Massf: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130]
53242,2.45392959784e-05,6.16069413863e-21,0.0294186244119,0.000106523684726,8.24455071761,0.00373039367975,0.00817098956757,8.7212145898e-25,2.80083752457e-06,7.67290153394e-09,0.000445027548411,3.54711973217e-07,7.7689316311e-07
53243,2.45286302476e-05,6.14246293579e-21,0.029409264173,0.00010646168667,8.23867383516,0.00372917719852,0.00816835220883,8.69584376202e-25,2.80085207604e-06,7.67281619852e-09,0.000445027511253,3.54711452165e-07,7.76894744474e-07
53244,2.451877556e-05,6.1269138582e-21,0.0294000793949,0.000106400851522,8.23290626018,0.00372798453609,0.00816576533325,8.67117504015e-25,2.80086576032e-06,7.67273685024e-09,0.000445027504902,3.54710963768e-07,7.76896232302e-07
53245,2.4509644183e-05,6.10839659405e-21,0.0293909262808,0.000106338635776,8.22695482308,0.00372679661027,0.00816318763251,8.64656345308e-25,2.8008789063e-06,7.67266224237e-09,0.000445027557532,3.54710495986e-07,7.76897661901e-07
53246,2.4501386071e-05,6.09647285979e-21,0.0293819067865,0.000106278807838,8.22127386342,0.0037256271472,0.00816064906825,8.62422313197e-25,2.80089134038e-06,7.6725900624e-09,0.00044502755073,3.54710054816e-07,7.76899013516e-07
53247,2.44936429345e-05,6.08006914469e-21,0.0293729203018,0.000106219621524,8.21566155916,0.00372446271581,0.00815812066678,8.60019083864e-25,2.8009033554e-06,7.67251757768e-09,0.000445027467768,3.54709630509e-07,7.76900319662e-07
53248,2.44867057381e-05,6.06813085291e-21,0.029364085861,0.000106160964038,8.2100843672,0.00372331878104,0.00815563573828,8.57813168342e-25,2.80091464764e-06,7.67245194129e-09,0.000445027460854,3.54709232131e-07,7.76901545977e-07
53249,2.4480239397e-05,6.05144569041e-21,0.0293552546079,0.000106102193892,8.20448772915,0.00372217589347,0.00815315232817,8.55534346643e-25,2.80092560119e-06,7.67238063975e-09,0.000445027236729,3.54708847844e-07,7.76902734528e-07
53250,2.44743813047e-05,6.05058310009e-21,0.0293465034783,0.000106043313811,8.19886813962,0.0037210439825,0.00815069190807,8.53908574977e-25,2.80093601605e-06,7.67231819036e-09,0.000445027202124,3.54708485176e-07,7.76903866719e-07
53251,2.44690118723e-05,6.03693956626e-21,0.0293377869167,0.000105984014753,8.19318710649,0.00371991706947,0.00814824158492,8.51677970846e-25,2.80094602862e-06,7.67225905274e-09,0.000445027183009,3.54708137984e-07,7.76904954845e-07
53252,2.44641705538e-05,6.02413948389e-21,0.0293291139193,0.000105925076371,8.18754048998,0.00371879645134,0.00814580419834,8.49458812719e-25,2.80095561813e-06,7.67220322419e-09,0.000445027175016,3.54707807805e-07,7.76905997738e-07
53253,2.44597828491e-05,6.00719189603e-21,0.0293205089989,0.000105867249945,8.18198517513,0.00371768541157,0.00814338688841,8.47242042465e-25,2.80096480935e-06,7.67215390043e-09,0.000445027400755,3.547074938e-07,7.76906998171e-07
53254,2.44558350655e-05,6.00968244002e-21,0.0293120090556,0.000105810203818,8.17653398831,0.00371658842705,0.00814099960175,8.45835727869e-25,2.80097356e-06,7.67210139208e-09,0.000445027383543,3.5470719676e-07,7.76907949927e-07
53255,2.44522580979e-05,5.99908733974e-21,0.029303462059,0.000105752627052,8.17102743449,0.0037154858052,0.00813859948211,8.43824945697e-25,2.80098209412e-06,7.67204693556e-09,0.000445027348791,3.54706908214e-07,7.76908875882e-07
53256,2.44492431339e-05,5.98912713589e-21,0.0292950665257,0.000105696046476,8.16560938121,0.00371440332212,0.00813624250501,8.41870970886e-25,2.80099014936e-06,7.67199299714e-09,0.000445027151098,3.54706638013e-07,7.76909750092e-07
53257,2.4446588002e-05,5.99523998217e-21,0.0292866279385,0.000105638424205,8.16007097024,0.00371331563597,0.00813387360446,8.40776973466e-25,2.80099796726e-06,7.67194196043e-09,0.00044502709443,3.54706376809e-07,7.76910596868e-07
